Name,Macroarea,Family,Genus,WL,Index0,Index1,Index2,Index3,Index4,Index5,Index6,T,T_max,T_min,T_sd,T_diff,WL_trans,Index0_trans,Index1_trans,Index2_trans,Index3_trans,Index4_trans,Index5_trans,Index6_trans,T_trans,T_max_trans,T_min_trans,T_sd_trans,T_diff_trans
Hussainabad Hunza Burushaski,Eurasia,Brs,Brs.BURUSHASKI,3.7778,8.7327,29.1878,4.3149,2.8919,1.6142,1.814,4.3149,-9.7560,1.9006,-21.4897,8.1334,23.3903,-0.2522,-1.9145,-2.2558,-1.8645,-1.7674,-1.5086,-1.5603,-1.8745,-2.0738,-2.5473,-2.0211,1.5588,1.5744
Hwana,Africa,AA,AA.BIU-MANDARA,4.9429,11.0071,45.1921,5.2475,3.4713,1.7868,2.0217,5.256,26.4893,30.3687,24.0765,2.2855,6.2922,1.2537,0.8429,1.2482,1.1819,0.7939,1.1091,0.2208,1.1705,0.9378,1.2483,0.7393,0.3880,0.3748
Hya,Africa,AA,AA.BIU-MANDARA,4.129,10.2855,37.3629,4.9113,3.2833,1.7269,1.9745,4.9113,24.0788,28.1085,21.5371,2.3355,6.5714,0.2425,-0.0974,-0.4023,-0.0017,-0.0779,0.1094,-0.1835,-0.0359,0.2568,0.6093,0.2294,0.4105,0.4146
Hyam,Africa,NC,NC.BENUE-CONGO_PLATEAU,3.1125,9.3104,34.185,4.4987,2.9846,1.6304,1.8475,4.4987,24.0490,26.9641,22.0732,1.7956,4.8909,-1.3191,-1.2714,-1.1048,-1.3223,-1.3827,-1.2959,-1.2727,-1.3410,0.2492,0.3116,0.3303,0.1317,0.1438
Iaai,Pacific,An,An.OCEANIC,3.0152,10.6178,39.8775,5.149,3.4505,1.7465,2.0788,5.149,23.7834,26.2930,21.1863,1.8665,5.1067,-1.4925,0.3281,0.1394,0.8250,0.6956,0.4253,0.7096,0.7846,0.1821,0.1449,0.1653,0.1737,0.1834
Iaibu,Pacific,TNG,TNG.MULAHA,4.8125,12.3195,51.4225,5.5257,3.8341,1.8148,2.3065,5.5257,26.3979,27.2445,25.2517,0.9997,1.9928,1.1026,2.7082,2.4937,2.2356,2.5847,1.6123,2.6554,2.1899,0.9096,0.3829,1.0043,-0.5416,-0.6816
Iamalele,Pacific,An,An.OCEANIC,5.875,11.696,48.2018,5.4077,3.6522,1.7814,2.2021,5.4077,25.4225,26.3185,24.0176,0.9611,2.3009,2.2374,1.7971,1.8566,1.7804,1.6691,1.0147,1.7639,1.7357,0.6202,0.1512,0.7265,-0.5896,-0.5492
Iatmul,Pacific,Sep,Sep.NDU,3.9487,9.8135,37.8584,4.7195,3.2082,1.7063,1.96,4.7195,26.4194,26.6585,25.9186,0.5110,0.7399,-0.0064,-0.6796,-0.2946,-0.6336,-0.4153,-0.2112,-0.3078,-0.6612,0.9162,0.2350,1.1633,-1.4113,-1.5963
Iau,Pacific,LP,LP.CENTRAL_TARIKU,2.5789,11.9943,48.7034,5.3548,3.768,1.7085,2.3643,5.3548,26.2024,26.4264,25.8318,0.3709,0.5946,-2.3403,2.2274,1.9568,1.5803,2.2479,-0.1775,3.1485,1.5362,0.8498,0.1776,1.1423,-1.8674,-1.7988
Iau 2,Pacific,LP,LP.CENTRAL_TARIKU,2.4783,11.5703,44.213,5.1775,3.6768,1.6746,2.3275,5.1775,26.2024,26.4264,25.8318,0.3709,0.5946,-2.5546,1.6189,1.0474,0.9274,1.7908,-0.6823,2.8346,0.8864,0.8498,0.1776,1.1423,-1.8674,-1.7988
Ibaloi,Pacific,An,An.NORTHERN_LUZON,4.7969,10.1247,41.3677,4.7848,3.16,1.6535,1.9562,4.8126,18.9888,20.4289,17.0505,1.1491,3.3784,1.0843,-0.2986,0.4551,-0.4220,-0.6285,-0.9814,-0.3403,-0.3618,-0.7959,-1.0713,-0.4877,-0.3746,-0.1959
Iban,Pacific,An,An.MALAYO-SUMBAWAN,4.2879,10.2462,42.0809,4.7447,3.2798,1.6927,2.0121,4.7538,25.9730,26.5485,25.4465,0.4631,1.1020,0.4536,-0.1468,0.6048,-0.5523,-0.0937,-0.4166,0.1386,-0.5518,0.7807,0.2077,1.0501,-1.5485,-1.2280
Ibanag,Pacific,An,An.NORTHERN_LUZON,4.6176,10.1775,40.0829,4.7235,3.1985,1.6975,1.9505,4.7235,26.1972,28.3723,23.1678,1.8561,5.2045,0.8695,-0.2329,0.1832,-0.6207,-0.4584,-0.3447,-0.3892,-0.6485,0.8482,0.6803,0.5473,0.1677,0.2008
Ibani,Africa,Ijo,Ijo.IJOID,3.9872,11.3018,39.8249,5.1966,3.5338,1.7839,2.1022,5.287,25.7411,26.8902,24.4116,0.9610,2.4787,0.0476,1.2444,0.1282,0.9964,1.0923,1.0583,0.9098,1.2843,0.7122,0.2930,0.8129,-0.5898,-0.4807
Ibani 2,Africa,Ijo,Ijo.IJOID,4.7197,11.0458,39.8165,4.9891,3.4255,1.7676,2.0373,4.9891,25.7540,26.9119,24.4252,0.9645,2.4867,0.9927,0.8951,0.1264,0.2635,0.5780,0.7774,0.3544,0.2270,0.7160,0.2984,0.8159,-0.5852,-0.4778
Ibee,Africa,NC,NC.BANTU,3.0179,10.5134,37.8435,5.0952,3.4161,1.7238,2.1173,5.122,25.8453,26.8551,24.8998,1.1214,1.9553,-1.4877,0.1930,-0.2978,0.6336,0.5339,0.0604,1.0390,0.6888,0.7429,0.2841,0.9229,-0.4035,-0.6991
Ibibio,Africa,NC,NC.LOWER_CROSS,4.12,10.5523,40.1017,4.8595,3.3392,1.7505,2.0404,4.8595,25.4891,26.6295,24.2287,0.9571,2.4008,0.2303,0.2432,0.1872,-0.1755,0.1773,0.4910,0.3809,-0.2080,0.6392,0.2278,0.7726,-0.5948,-0.5101
Ibibio 1,Africa,NC,NC.LOWER_CROSS,3.8167,10.4054,40.761,4.764,3.2958,1.7147,2.0423,4.764,25.3837,26.5309,24.2042,0.9466,2.3267,-0.1954,0.0547,0.3271,-0.4898,-0.0211,-0.0819,0.3972,-0.5190,0.6091,0.2033,0.7672,-0.6082,-0.5390
Ibibio 2,Africa,NC,NC.LOWER_CROSS,3.2692,9.8284,37.8859,4.5642,3.1335,1.6801,1.9473,4.5685,25.3837,26.5309,24.2042,0.9466,2.3267,-1.0500,-0.6616,-0.2887,-1.1223,-0.7447,-0.6025,-0.4166,-1.1307,0.6091,0.2033,0.7672,-0.6082,-0.5390
Ibilo,Africa,NC,NC.EDOID,2.6071,10.9167,43.9464,5.0536,3.2976,1.6994,2.0357,5.0536,24.7877,26.2161,23.2754,1.1357,2.9408,-2.2817,0.7218,0.9924,0.4873,-0.0129,-0.3160,0.3407,0.4492,0.4435,0.1262,0.5695,-0.3885,-0.3235
Ibino,Africa,NC,NC.LOWER_CROSS,3.4079,9.8508,38.101,4.6405,3.1838,1.6705,1.9821,4.6449,26.0583,27.1494,24.7110,0.9578,2.4384,-0.8216,-0.6345,-0.2421,-0.8847,-0.5235,-0.7413,-0.1184,-0.8957,0.8063,0.3586,0.8800,-0.5938,-0.4958
Ibolo Bambomba Bomitaba,Africa,NC,NC.BANTU,3.4286,11.3927,44.518,5.2389,3.5777,1.7877,2.13,5.3264,25.6968,27.4383,24.6192,1.4343,2.8191,-0.7883,1.3702,1.1101,1.1504,1.3044,1.1249,1.1476,1.4302,0.6993,0.4329,0.8593,-0.1177,-0.3623
Ibongo,Africa,NC,NC.BANTU,4.0588,10.8814,40.8759,5.0112,3.3633,1.7415,2.0276,5.0112,24.8548,25.6710,23.1548,1.0080,2.5162,0.1468,0.6748,0.3514,0.3398,0.2884,0.3437,0.2713,0.3027,0.4618,-0.0043,0.5447,-0.5315,-0.4669
Ibuoro,Africa,NC,NC.LOWER_CROSS,3.3421,9.8156,37.1833,4.5373,3.1206,1.6715,1.9421,4.5373,25.6520,26.7979,24.5631,0.9404,2.2348,-0.9289,-0.6770,-0.4415,-1.2049,-0.8009,-0.7270,-0.4612,-1.2252,0.6863,0.2698,0.8467,-0.6163,-0.5761
Icari Dargi,Eurasia,NDa,NDa.DARGWIC,3.2568,9.3099,35.6232,4.4714,3.0009,1.5917,1.886,4.4714,6.5754,16.9680,-3.3505,7.6252,20.3185,-1.0708,-1.2720,-0.7843,-1.4046,-1.3141,-1.7937,-0.9423,-1.4221,-1.9004,-1.5985,-1.8667,1.5058,1.4462
Icelandic,Eurasia,IE,IE.GERMANIC,4.225,9.4254,34.501,4.6731,3.0169,1.636,1.8352,4.6731,-2.4845,3.8622,-6.7012,4.1726,10.5634,0.3709,-1.1388,-1.0340,-0.7817,-1.2464,-1.2209,-1.3783,-0.8076,-2.0600,-2.5230,-1.9293,0.9785,0.8490
Icelandic 2,Eurasia,IE,IE.GERMANIC,4.6125,9.379,31.2272,4.6918,3.0008,1.6633,1.7945,4.6918,-2.4845,3.8622,-6.7012,4.1726,10.5634,0.8633,-1.1925,-1.7787,-0.7222,-1.3145,-0.8439,-1.7278,-0.7488,-2.0600,-2.5230,-1.9293,0.9785,0.8490
Idaan,Pacific,An,An.NORTH_BORNEO,4.3235,9.7071,39.1632,4.5588,3.1539,1.6608,1.9554,4.5735,26.1345,26.9335,25.3092,0.6322,1.6243,0.4999,-0.8072,-0.0132,-1.1389,-0.6553,-0.8792,-0.3472,-1.1155,0.8292,0.3039,1.0177,-1.1233,-0.8701
Idakho Isukha Tiriki,Africa,NC,NC.BANTU,4.3857,10.8882,41.3181,5.1735,3.3695,1.76,1.9905,5.1735,20.5555,22.2340,19.1184,1.0423,3.1156,0.5800,0.6838,0.4446,0.9130,0.3170,0.6491,-0.0464,0.8720,-0.5214,-0.7416,-0.1840,-0.4911,-0.2704
Idakho Isukha Tiriki 2,Africa,NC,NC.BANTU,4.3286,10.7534,40.035,5.1146,3.3595,1.7618,1.9913,5.1146,20.5555,22.2340,19.1184,1.0423,3.1156,0.5065,0.5054,0.1730,0.7023,0.2708,0.6794,-0.0396,0.6627,-0.5214,-0.7416,-0.1840,-0.4911,-0.2704
Idoma,Africa,NC,NC.IDOMOID,4.0,12.0997,48.2581,5.4886,3.8204,1.8082,2.2917,5.4886,26.0524,27.3508,24.8310,1.0646,2.5198,0.0655,2.3819,1.8679,2.0912,2.5145,1.4915,2.5291,2.0457,0.8045,0.4103,0.9072,-0.4656,-0.4656
Idu,Africa,NC,NC.BENUE-CONGO_PLATEAU,3.5385,11.078,43.303,5.1979,3.5064,1.765,2.1098,5.2056,25.7518,28.2430,23.7899,1.6419,4.4531,-0.6143,0.9386,0.8594,1.0011,0.9609,0.7333,0.9748,0.9874,0.7154,0.6454,0.6776,0.0337,0.0577
Idu Mishmi,Eurasia,ST,ST.DIGAROAN,4.3421,11.0429,42.8415,5.1973,3.4527,1.8306,2.0243,5.2104,-0.9535,6.0013,-8.4395,5.2294,14.4408,0.5240,0.8912,0.7635,0.9990,0.7059,1.9067,0.2431,1.0048,-2.0497,-2.4697,-1.9529,1.1831,1.1346
Iduna 2,Pacific,An,An.OCEANIC,5.1538,11.2609,47.3056,5.1222,3.5456,1.7303,2.1683,5.1222,18.9134,19.7694,17.6151,0.8852,2.1543,1.4905,1.1881,1.6768,0.7293,1.1491,0.1634,1.4750,0.6895,-0.8081,-1.1822,-0.4090,-0.6911,-0.6098
Iduwini,Africa,Ijo,Ijo.IJOID,3.8919,11.5194,42.6538,5.2578,3.6678,1.7538,2.2273,5.2663,25.8493,27.1322,24.4458,1.0171,2.6864,-0.0870,1.5473,0.7244,1.2197,1.7462,0.5457,1.9792,1.2083,0.7441,0.3542,0.8205,-0.5207,-0.4067
Ife,Africa,NC,NC.DEFOID,3.2222,11.9972,46.7284,5.4802,3.7889,1.8148,2.2716,5.4802,25.8185,27.5953,24.1152,1.2602,3.4801,-1.1294,2.2316,1.5604,2.0586,2.3539,1.6123,2.3575,2.0132,0.7350,0.4737,0.7478,-0.2663,-0.1687
Ifugao Amganad,Pacific,An,An.NORTHERN_LUZON,4.8889,10.0338,39.9429,4.6239,3.2092,1.677,1.9541,4.6239,20.8324,22.7147,18.1010,1.6188,4.6137,1.1916,-0.4111,0.1534,-0.9368,-0.4108,-0.6476,-0.3583,-0.9608,-0.4686,-0.6472,-0.3388,0.0180,0.0902
Ifugao Batad,Pacific,An,An.NORTHERN_LUZON,4.7286,10.0742,40.3775,4.6726,3.2047,1.6901,1.9593,4.6726,20.8324,22.7147,18.1010,1.6188,4.6137,1.0034,-0.3612,0.2458,-0.7833,-0.4308,-0.4553,-0.3138,-0.8092,-0.4686,-0.6472,-0.3388,0.0180,0.0902
Ifugao Bayninan,Pacific,An,An.NORTHERN_LUZON,4.6667,10.1244,39.781,4.6521,3.241,1.6815,1.9681,4.6521,20.1783,22.0294,17.5149,1.5779,4.5145,0.9291,-0.2990,0.1189,-0.8482,-0.2687,-0.5820,-0.2384,-0.8732,-0.5912,-0.7809,-0.4232,-0.0104,0.0703
Igala,Africa,NC,NC.DEFOID,3.075,12.3877,48.9867,5.5658,3.8675,1.8325,2.3158,5.5658,25.0053,26.4736,23.7180,1.1438,2.7556,-1.3853,2.8106,2.0132,2.3931,2.7567,1.9426,2.7347,2.3471,0.5031,0.1892,0.6623,-0.3800,-0.3833
Igala 2,Africa,NC,NC.DEFOID,3.6852,12.139,46.3265,5.6006,3.8302,1.8519,2.266,5.6006,25.2244,26.6932,23.9503,1.1441,2.7429,-0.3897,2.4398,1.4791,2.5309,2.5647,2.3159,2.3097,2.4848,0.5641,0.2436,0.7120,-0.3798,-0.3875
Igbirra,Africa,NC,NC.NUPOID,3.6333,12.3197,48.5372,5.7233,3.8344,1.8078,2.2744,5.7233,26.0969,28.1542,24.5868,1.4506,3.5675,-0.4682,2.7085,1.9236,3.0254,2.5862,1.4843,2.3814,2.9793,0.8179,0.6215,0.8520,-0.1049,-0.1459
Igbo,Africa,NC,NC.IGBOID,4.5247,11.7196,47.2902,5.3232,3.6069,1.7878,2.1737,5.3232,25.2228,26.3966,24.0972,0.9607,2.2994,0.7552,1.8308,1.6737,1.4619,1.4466,1.1266,1.5212,1.4183,0.5636,0.1703,0.7438,-0.5901,-0.5498
Igbo 2,Africa,NC,NC.IGBOID,4.8889,11.0404,41.9326,5.1536,3.4795,1.7603,2.1173,5.1536,25.2228,26.3966,24.0972,0.9607,2.2994,1.1916,0.8878,0.5737,0.8415,0.8328,0.6541,1.0390,0.8009,0.5636,0.1703,0.7438,-0.5901,-0.5498
Igbo 3,Africa,NC,NC.IGBOID,4.5556,11.4905,45.3861,5.2805,3.587,1.7916,2.1613,5.2805,25.2228,26.3966,24.0972,0.9607,2.2994,0.7935,1.5067,1.2878,1.3033,1.3496,1.1937,1.4152,1.2604,0.5636,0.1703,0.7438,-0.5901,-0.5498
Igbo 4,Africa,NC,NC.IGBOID,4.9444,11.4769,46.7985,5.1726,3.4875,1.786,2.1038,5.1726,25.2228,26.3966,24.0972,0.9607,2.2994,1.2554,1.4877,1.5746,0.9097,0.8708,1.0950,0.9235,0.8688,0.5636,0.1703,0.7438,-0.5901,-0.5498
Igbo 5,Africa,NC,NC.IGBOID,4.7407,11.3819,43.9902,5.2067,3.4987,1.7947,2.0988,5.2067,25.2228,26.3966,24.0972,0.9607,2.2994,1.0178,1.3552,1.0015,1.0330,0.9242,1.2487,0.8807,0.9914,0.5636,0.1703,0.7438,-0.5901,-0.5498
Igbo Onitsha,Africa,NC,NC.IGBOID,3.425,11.2785,43.1303,5.2744,3.5712,1.7716,2.1727,5.3431,24.5605,25.7774,23.4619,0.9841,2.3155,-0.7941,1.2123,0.8236,1.2808,1.2728,0.8456,1.5127,1.4924,0.3825,0.0209,0.6083,-0.5608,-0.5434
Igede,Africa,NC,NC.IDOMOID,3.8667,12.0736,48.0345,5.5272,3.8114,1.8246,2.2512,5.5272,25.6929,27.0513,24.6689,1.0816,2.3825,-0.1231,2.3435,1.8231,2.2415,2.4685,1.7940,2.1833,2.1957,0.6982,0.3337,0.8705,-0.4466,-0.5172
Ignaciano,SouthAmerica,Arw,Arw.BOLIVIA-PARANA,5.0128,10.9071,44.5954,5.1467,3.5343,1.7461,2.1485,5.1467,25.9890,28.2048,23.8571,1.7080,4.3477,1.3332,0.7090,1.1260,0.8168,1.0947,0.4187,1.3058,0.7764,0.7855,0.6351,0.6920,0.0771,0.0357
Igom,Pacific,RLS,RLS.ATAITAN,5.1316,10.2346,38.1904,4.8929,3.3111,1.7623,1.9681,4.8929,25.4887,25.8293,25.1975,0.4584,0.6318,1.4660,-0.1614,-0.2227,-0.0637,0.0486,0.6878,-0.2384,-0.0973,0.6391,0.0332,0.9916,-1.5629,-1.7425
Iguta,Africa,NC,NC.CENTRAL_KAINJI,4.3553,11.8685,45.2895,5.5943,3.7794,1.8509,2.1713,5.6098,22.3617,25.2215,20.4461,1.9080,4.7754,0.5410,2.0447,1.2681,2.5059,2.3056,2.2964,1.5007,2.5214,-0.1522,-0.1091,0.0347,0.1974,0.1218
Iha,Pacific,GWB,GWB.WEST_BOMBERAI,4.9342,9.6685,34.8913,4.598,3.0348,1.7135,1.8122,4.598,23.3656,23.9299,22.2329,0.7248,1.6970,1.2438,-0.8532,-0.9469,-1.0177,-1.1704,-0.1005,-1.5758,-1.0405,0.0796,-0.3961,0.3610,-0.9445,-0.8297
Iha 2,Pacific,GWB,GWB.WEST_BOMBERAI,4.3846,9.5688,35.3449,4.5135,3.0393,1.696,1.8297,4.5135,23.3656,23.9299,22.2329,0.7248,1.6970,0.5786,-0.9711,-0.8460,-1.2774,-1.1512,-0.3672,-1.4255,-1.2967,0.0796,-0.3961,0.3610,-0.9445,-0.8297
Ihiee,Africa,NC,NC.EDOID,3.7593,12.4014,52.4859,5.5091,3.7877,1.7575,2.3172,5.5091,25.3017,26.5228,23.9007,1.0398,2.6220,-0.2794,2.8312,2.7011,2.1708,2.3478,0.6073,2.7467,2.1252,0.5858,0.2013,0.7013,-0.4939,-0.4290
Iigau,Africa,NC,NC.UKAAN,3.5156,11.7221,44.7169,5.4852,3.6409,1.7721,2.1938,5.4852,24.7331,26.4136,23.1390,1.2516,3.2745,-0.6501,1.8344,1.1509,2.0780,1.6134,0.8542,1.6930,2.0325,0.4288,0.1744,0.5414,-0.2743,-0.2246
Ik,Africa,ESu,ESu.KULIAK,3.8104,9.5039,36.4678,4.4795,3.0468,1.6324,1.903,4.4795,21.3190,23.2482,19.6259,1.2934,3.6224,-0.2045,-1.0473,-0.5981,-1.3803,-1.1192,-1.2692,-0.7965,-1.3981,-0.3726,-0.5392,-0.1027,-0.2361,-0.1319
Ik 2,Africa,ESu,ESu.KULIAK,3.9545,10.1943,44.2824,4.7119,3.2287,1.6567,2.0091,4.7119,21.3190,23.2482,19.6259,1.2934,3.6224,0.0018,-0.2119,1.0617,-0.6580,-0.3238,-0.9368,0.1129,-0.6853,-0.3726,-0.5392,-0.1027,-0.2361,-0.1319
Ik 3,Africa,ESu,ESu.KULIAK,3.9857,10.5191,43.9295,4.8711,3.3434,1.6712,2.0946,4.8711,20.9972,22.8800,19.3829,1.2601,3.4971,0.0455,0.2004,0.9889,-0.1368,0.1966,-0.7313,0.8448,-0.1697,-0.4366,-0.6141,-0.1420,-0.2664,-0.1642
Ik 4,Africa,ESu,ESu.KULIAK,4.2121,9.8614,42.1585,4.6354,3.1673,1.6356,1.9956,4.6354,20.9972,22.8800,19.3829,1.2601,3.4971,0.3538,-0.6217,0.6210,-0.9008,-0.5964,-1.2263,-0.0027,-0.9252,-0.4366,-0.6141,-0.1420,-0.2664,-0.1642
Ika,SouthAmerica,Chi,Chi.ARHUACIC,4.3143,9.5223,35.0427,4.6077,3.1747,1.6625,1.99,4.6077,10.7012,11.2582,9.9292,0.8292,1.3290,0.4880,-1.0258,-0.9131,-0.9875,-0.5637,-0.8552,-0.0507,-1.0107,-1.6965,-2.1904,-1.2447,-0.7729,-1.0552
Ika Nigeria,Africa,NC,NC.IGBOID,3.7137,11.4865,43.8382,5.357,3.6238,1.7771,2.186,5.357,24.6532,25.8421,23.3522,0.9898,2.4899,-0.3471,1.5011,0.9701,1.5886,1.5294,0.9402,1.6263,1.5445,0.4073,0.0362,0.5854,-0.5537,-0.4766
Ikaan,Africa,NC,NC.UKAAN,3.5,12.026,46.2635,5.6028,3.735,1.8072,2.2206,5.6028,24.7331,26.4136,23.1390,1.2516,3.2745,-0.6747,2.2737,1.4663,2.5397,2.0815,1.4734,1.9220,2.4936,0.4288,0.1744,0.5414,-0.2743,-0.2246
Ikakumo,Africa,NC,NC.UKAAN,3.6316,11.9728,45.359,5.6026,3.7684,1.7921,2.2583,5.6026,25.0132,26.4847,23.4620,1.1549,3.0227,-0.4708,2.1960,1.2823,2.5389,2.2499,1.2025,2.2439,2.4928,0.5052,0.1919,0.6083,-0.3686,-0.2982
Ikibiri,Africa,Ijo,Ijo.IJOID,3.8378,11.6952,45.3866,5.3131,3.6865,1.7876,2.2178,5.3892,25.8493,27.1322,24.4458,1.0171,2.6864,-0.1647,1.7960,1.2879,1.4243,1.8390,1.1231,1.8980,1.6656,0.7441,0.3542,0.8205,-0.5207,-0.4067
Ikizu,Africa,NC,NC.BANTU,4.0513,10.8793,41.035,5.0551,3.4201,1.7466,2.0231,5.0551,22.7775,23.9035,21.7505,1.0760,2.1530,0.1365,0.6720,0.3850,0.4926,0.5527,0.4269,0.2328,0.4544,-0.0586,-0.4018,0.2691,-0.4529,-0.6104
Ikizu 2,Africa,NC,NC.BANTU,3.8611,10.7808,42.7275,4.9574,3.3097,1.7122,2.0046,4.9574,22.8750,24.2245,21.7673,1.1085,2.4572,-0.1311,0.5415,0.7398,0.1548,0.0422,-0.1206,0.0744,0.1192,-0.0362,-0.3325,0.2723,-0.4173,-0.4887
Ikizu 3,Africa,NC,NC.BANTU,3.5417,10.8471,40.8173,5.0226,3.3825,1.7423,2.029,5.0226,22.8750,24.2245,21.7673,1.1085,2.4572,-0.6093,0.6292,0.3390,0.3793,0.3773,0.3567,0.2833,0.3419,-0.0362,-0.3325,0.2723,-0.4173,-0.4887
Iko,Africa,NC,NC.LOWER_CROSS,3.5789,10.2054,39.595,4.7366,3.215,1.6768,1.9919,4.741,26.0436,27.1450,24.7025,0.9573,2.4425,-0.5516,-0.1980,0.0792,-0.5785,-0.3850,-0.6505,-0.0344,-0.5927,0.8019,0.3575,0.8781,-0.5944,-0.4943
Ikoma,Africa,NC,NC.BANTU,3.75,10.497,39.412,4.9773,3.3384,1.7102,2.025,4.9773,20.8615,22.2058,19.5004,1.1101,2.7054,-0.2932,0.1719,0.0400,0.2229,0.1736,-0.1514,0.2491,0.1868,-0.4630,-0.7470,-0.1231,-0.4156,-0.4002
Ikpana,Africa,NC,NC.NA-TOGO,3.3974,11.4396,45.9135,5.2659,3.6201,1.7516,2.2204,5.3524,25.8342,27.5643,23.9428,1.3119,3.6216,-0.8386,1.4355,1.3952,1.2495,1.5112,0.5092,1.9202,1.5272,0.7396,0.4656,0.7104,-0.2198,-0.1321
Ikpeng,SouthAmerica,Car,Car.CARIBAN,4.641,10.9352,42.7429,5.1912,3.5054,1.8296,2.0318,5.2079,25.8163,29.5064,24.4122,1.9843,5.0942,0.8980,0.7465,0.7430,0.9769,0.9562,1.8878,0.3073,0.9958,0.7343,0.9964,0.8131,0.2394,0.1811
Ikpeshi,Africa,NC,NC.EDOID,4.7297,11.9376,46.8745,5.4392,3.6971,1.7608,2.2373,5.4392,25.3017,26.5228,23.9007,1.0398,2.6220,1.0047,2.1448,1.5899,1.9007,1.8918,0.6625,2.0646,1.8557,0.5858,0.2013,0.7013,-0.4939,-0.4290
Ikposo,Africa,NC,NC.KA-TOGO,2.4783,10.1975,37.6558,4.8587,3.2355,1.6812,1.9855,4.8587,22.7372,24.3206,20.9907,1.2157,3.3299,-2.5546,-0.2079,-0.3386,-0.1781,-0.2933,-0.5864,-0.0893,-0.2107,-0.0678,-0.3115,0.1301,-0.3083,-0.2092
Ikundun,Pacific,TNG,TNG.JOSEPHSTAAL,5.9,10.4427,41.5215,4.934,3.3726,1.7731,2.0258,5.0761,24.2704,24.6249,23.9914,0.4566,0.6334,2.2617,0.1023,0.4875,0.0751,0.3314,0.8713,0.2559,0.5275,0.3062,-0.2443,0.7209,-1.5685,-1.7401
Ikwere,Africa,NC,NC.IGBOID,4.4103,11.0528,41.3563,5.1427,3.48,1.7521,2.1022,5.1427,25.5486,26.6460,24.3044,0.9397,2.3415,0.6114,0.9045,0.4527,0.8025,0.8352,0.5175,0.9098,0.7622,0.6563,0.2319,0.7892,-0.6172,-0.5331
Ila,Africa,NC,NC.BANTU,3.3158,10.852,40.494,5.0811,3.3893,1.7226,2.0702,5.1645,22.6662,26.9164,18.1936,2.7627,8.7228,-0.9723,0.6357,0.2705,0.5839,0.4089,0.0415,0.6360,0.8398,-0.0840,0.2995,-0.3252,0.5814,0.6739
Iliamna Tanaina,NorthAmerica,NDe,NDe.ATHAPASKAN,4.2083,9.2995,32.6542,4.7096,3.1015,1.6647,1.9137,4.7096,-2.1863,8.8423,-10.4225,7.4931,19.2647,0.3488,-1.2839,-1.4510,-0.6653,-0.8839,-0.8241,-0.7047,-0.6926,-2.0583,-2.3473,-1.9739,1.4914,1.3976
Ilir Komering,Pacific,An,An.LAMPUNGIC,4.3594,10.0048,35.0741,4.8298,3.2329,1.6906,1.9943,4.8298,26.2004,26.8133,25.6800,0.5970,1.1333,0.5463,-0.4467,-0.9062,-0.2741,-0.3050,-0.4479,-0.0139,-0.3056,0.8492,0.2736,1.1057,-1.1998,-1.2022
Ilit,Africa,Knm,Knm.KUNAMA,3.2632,10.1222,39.2904,4.6888,3.2042,1.6984,1.93,4.7019,25.3712,29.4708,21.9127,2.4637,7.5581,-1.0601,-0.3017,0.0140,-0.7318,-0.4330,-0.3311,-0.5649,-0.7170,0.6056,0.9862,0.2997,0.4654,0.5427
Iliun,Pacific,An,An.CENTRAL_MALAYO-POLYNESIAN,3.625,11.6797,47.2214,5.5068,3.688,1.838,2.1708,5.5068,26.0531,27.3970,24.8648,0.8963,2.5322,-0.4809,1.7739,1.6599,2.1619,1.8465,2.0473,1.4964,2.1162,0.8047,0.4222,0.9149,-0.6756,-0.4611
Illo Busa,Africa,Man,Man.EASTERN_MANDE,2.6286,10.7138,43.6467,4.8667,3.299,1.6962,2.0352,4.8667,28.1332,32.5065,25.2471,2.4568,7.2594,-2.2373,0.4534,0.9305,-0.1515,-0.0065,-0.3642,0.3364,-0.1842,1.4818,1.9168,1.0032,0.4626,0.5058
Ilokano,Pacific,An,An.NORTHERN_LUZON,4.3824,10.5716,43.8105,4.8289,3.3006,1.7139,2.0059,4.8289,23.6494,25.3422,21.4037,1.3322,3.9385,0.5758,0.2682,0.9644,-0.2770,0.0007,-0.0943,0.0855,-0.3086,0.1489,-0.0812,0.2048,-0.2021,-0.0550
Ilongot Kakidugen,Pacific,An,An.NORTHERN_LUZON,4.6571,9.2181,33.8603,4.4351,3.0676,1.6335,1.9288,4.4351,22.0259,23.8285,19.3412,1.6245,4.4873,0.9175,-1.3768,-1.1778,-1.5131,-1.0301,-1.2545,-0.5752,-1.5289,-0.2254,-0.4178,-0.1487,0.0219,0.0647
Ilue,Africa,NC,NC.LOWER_CROSS,3.3243,10.352,37.933,4.8409,3.3456,1.7163,2.0351,4.8459,25.8917,27.0174,24.5627,0.9655,2.4547,-0.9582,-0.0133,-0.2784,-0.2373,0.2067,-0.0570,0.3356,-0.2528,0.7566,0.3251,0.8466,-0.5840,-0.4897
Ilwana,Africa,NC,NC.BANTU,3.7742,10.9978,42.3176,5.0465,3.3508,1.7118,2.0341,5.0465,26.5785,28.9984,24.1543,1.7347,4.8441,-0.2575,0.8304,0.6543,0.4625,0.2307,-0.1267,0.3270,0.4245,0.9656,0.8527,0.7563,0.0942,0.1350
