Name,Macroarea,Family,Genus,WL,Index0,Index1,Index2,Index3,Index4,Index5,Index6,T,T_max,T_min,T_sd,T_diff,WL_trans,Index0_trans,Index1_trans,Index2_trans,Index3_trans,Index4_trans,Index5_trans,Index6_trans,T_trans,T_max_trans,T_min_trans,T_sd_trans,T_diff_trans
Acholi 2,Africa,ESu,ESu.WESTERN_NILOTIC,3.975,10.1825,37.0891,4.8332,3.2522,1.7501,1.9335,4.8332,24.9516,27.7396,22.7531,1.9160,4.9865,0.0306,-0.2266,-0.4620,-0.2628,-0.2183,0.4844,-0.5349,-0.2945,0.4883,0.5114,0.4633,0.2019,0.1615
Achuar,SouthAmerica,Jiv,Jiv.JIVAROAN,4.2692,10.6709,40.6963,5.1437,3.4212,1.7623,2.0627,5.1683,24.7346,25.1726,23.8023,0.6386,1.3702,0.4292,0.3973,0.3134,0.8060,0.5578,0.6878,0.5718,0.8534,0.4292,-0.1204,0.6802,-1.1100,-1.0269
Achumawi,NorthAmerica,Hok,Hok.ACHUMAWI,4.2875,9.992,36.7819,4.8545,3.2294,1.6531,1.999,4.867,8.7022,20.3394,-0.4881,7.6507,20.8275,0.4531,-0.4625,-0.5292,-0.1921,-0.3206,-0.9869,0.0264,-0.1833,-1.8101,-1.0866,-1.7909,1.5086,1.4687
Acoma Keres,NorthAmerica,Ker,Ker.KERESAN,5.2059,9.7941,38.6466,4.7474,3.168,1.6275,2.0154,4.7474,12.3858,23.3242,1.8856,7.9133,21.4386,1.5476,-0.7029,-0.1243,-0.5436,-0.5933,-1.3345,0.1669,-0.5723,-1.5749,-0.5235,-1.7084,1.5363,1.4951
Adang,Pacific,GWB,GWB.ALOR-PANTAR,4.3472,10.1375,36.8224,4.7874,3.2523,1.7001,1.9889,4.7874,25.7973,27.0461,24.8504,0.8295,2.1957,0.5306,-0.2827,-0.5203,-0.4135,-0.2179,-0.3054,-0.0601,-0.4436,0.7287,0.3324,0.9116,-0.7724,-0.5923
Adang Pitung,Pacific,GWB,GWB.ALOR-PANTAR,3.8718,10.3763,40.3628,4.8616,3.2523,1.7121,1.969,4.8616,25.7973,27.0461,24.8504,0.8295,2.1957,-0.1157,0.0176,0.2427,-0.1685,-0.2179,-0.1221,-0.2306,-0.2011,0.7287,0.3324,0.9116,-0.7724,-0.5923
Adangbe,Africa,NC,NC.GBE,3.2833,11.0631,44.2819,5.1007,3.478,1.6963,2.1669,5.1007,26.4095,28.2145,24.3861,1.3740,3.8284,-1.0264,0.9184,1.0616,0.6531,0.8257,-0.3627,1.4631,0.6137,0.9131,0.6377,0.8073,-0.1666,-0.0811
Adangbe 2,Africa,NC,NC.GBE,3.7222,11.4752,45.1062,5.204,3.554,1.7127,2.2056,5.204,26.4095,28.2145,24.3861,1.3740,3.8284,-0.3344,1.4853,1.2306,1.0232,1.1896,-0.1128,1.7938,0.9817,0.9131,0.6377,0.8073,-0.1666,-0.0811
Adele,Africa,NC,NC.NA-TOGO,3.069,10.5489,41.7828,4.9767,3.3371,1.7601,1.9977,4.981,24.9409,26.5830,23.1286,1.2544,3.4544,-1.3960,0.2388,0.5423,0.2209,0.1677,0.6508,0.0153,0.1994,0.4853,0.2162,0.5393,-0.2717,-0.1755
Adhola,Africa,ESu,ESu.WESTERN_NILOTIC,3.2821,10.1263,35.9855,4.7983,3.2154,1.7568,1.9021,4.7983,23.1520,24.8439,21.7524,1.1502,3.0914,-1.0284,-0.2966,-0.7042,-0.3778,-0.3832,0.5956,-0.8042,-0.4083,0.0286,-0.1952,0.2695,-0.3735,-0.2775
