Genus,Family,WL,Index0,Index1,Index2,Index3,Index4,Index5,T,T_max,T_min,T_sd,T_diff,Method,WL_trans,Index0_trans,Index1_trans,Index2_trans,Index3_trans,Index4_trans,Index5_trans,T_trans,T_max_trans,T_min_trans,T_sd_trans,T_diff_trans
AA.WEST_CHADIC,AA,4.0325,10.1861,37.6701,4.8550,3.2595,1.7128,1.9681,25.8680,29.3135,22.7716,2.1924,6.0785,median,-0.2780,-0.2054,-0.4462,-0.1595,-0.2156,-0.0744,-0.2842,0.6858,0.9970,0.3962,0.4028,0.4121
AK.ASMAT-KAMRAU_BAY,AK,4.2153,11.3824,46.0320,5.2991,3.5641,1.8030,2.1060,25.6817,26.3286,24.4752,0.7857,1.8534,mean,-0.0120,1.4466,1.4689,1.5495,1.3280,1.3907,0.9559,0.6325,0.1432,0.7559,-0.7429,-0.6513
AK.ASMAT-KAMRAU_BAY,AK,4.0435,11.3181,44.0502,5.3651,3.5850,1.8318,2.0944,25.6464,26.2142,24.5219,0.7986,1.8629,median,-0.2616,1.3531,1.0221,1.8185,1.4385,1.8980,0.8515,0.6224,0.1137,0.7663,-0.7233,-0.6468
AM.AMTO-MUSAN,AM,3.7587,10.7341,40.4260,5.0908,3.4254,1.7620,2.0662,25.6513,25.9559,25.0804,0.5498,0.8755,mean,-0.6994,0.5284,0.1940,0.7263,0.6092,0.7009,0.5972,0.6238,0.0480,0.8932,-1.1876,-1.3096
AM.AMTO-MUSAN,AM,3.7587,10.7341,40.4260,5.0908,3.4254,1.7620,2.0662,25.6513,25.9559,25.0804,0.5498,0.8755,median,-0.6994,0.5284,0.1940,0.7263,0.6092,0.7009,0.5972,0.6238,0.0480,0.8932,-1.1876,-1.3096
Abi.ABINOMN,Abi,4.0000,9.6867,30.0181,4.6874,3.0866,1.7101,1.8300,26.3174,26.5907,25.9157,0.4492,0.6750,mean,-0.3265,-0.8404,-2.2791,-0.7592,-1.0340,-0.1163,-1.5169,0.8177,0.2116,1.0914,-1.4507,-1.5355
Abi.ABINOMN,Abi,4.0000,9.6867,30.0181,4.6874,3.0866,1.7101,1.8300,26.3174,26.5907,25.9157,0.4492,0.6750,median,-0.3265,-0.8404,-2.2791,-0.7592,-1.0340,-0.1163,-1.5169,0.8177,0.2116,1.0914,-1.4507,-1.5355
Abu.ABUN,Abu,2.9882,9.7553,34.6549,4.5514,3.0271,1.6968,1.8372,22.7922,23.1882,22.4885,0.3888,0.6997,mean,-2.0711,-0.7551,-1.1581,-1.2279,-1.3057,-0.3165,-1.4529,-0.0999,-0.5850,0.3401,-1.6441,-1.5044
Abu.ABUN,Abu,2.9882,9.7553,34.6549,4.5514,3.0271,1.6968,1.8372,22.7922,23.1882,22.4885,0.3888,0.6997,median,-2.0711,-0.7551,-1.1581,-1.2279,-1.3057,-0.3165,-1.4529,-0.0999,-0.5850,0.3401,-1.6441,-1.5044
Aik.AIKANA,Aik,3.9487,10.9759,41.9137,5.1952,3.4562,1.7138,2.1214,24.7265,27.0476,23.1080,1.5273,3.9396,mean,-0.4038,0.8645,0.5358,1.1340,0.7663,-0.0599,1.0953,0.3710,0.3339,0.4641,0.0204,0.0208
Aik.AIKANA,Aik,3.9487,10.9759,41.9137,5.1952,3.4562,1.7138,2.1214,24.7265,27.0476,23.1080,1.5273,3.9396,median,-0.4038,0.8645,0.5358,1.1340,0.7663,-0.0599,1.0953,0.3710,0.3339,0.4641,0.0204,0.0208
Ain.AINU,Ain,4.0954,9.8899,39.4560,4.7890,3.2370,1.6950,1.9618,6.0474,19.1040,-6.1996,8.8970,25.3036,mean,-0.1851,-0.5859,-0.0303,-0.3985,-0.3246,-0.3436,-0.3406,-1.9102,-1.2987,-1.9541,1.6928,1.7239
Ain.AINU,Ain,4.1750,9.8424,38.9983,4.7507,3.2349,1.6954,1.9461,6.8745,20.3075,-5.6048,8.9480,25.4108,median,-0.0697,-0.6459,-0.1365,-0.5356,-0.3346,-0.3373,-0.4813,-1.8828,-1.1139,-1.9450,1.6975,1.7278
Ala.ALACALUFAN,Ala,5.2500,9.5966,40.8577,4.6523,3.1249,1.6306,1.8777,5.5241,8.7996,2.2330,2.3920,6.5666,mean,1.3065,-0.9516,0.2934,-0.8816,-0.8564,-1.2575,-1.0922,-1.9256,-2.1760,-1.7410,0.4918,0.4822
Ala.ALACALUFAN,Ala,5.2500,9.5966,40.8577,4.6523,3.1249,1.6306,1.8777,5.5241,8.7996,2.2330,2.3920,6.5666,median,1.3065,-0.9516,0.2934,-0.8816,-0.8564,-1.2575,-1.0922,-1.9256,-2.1760,-1.7410,0.4918,0.4822
Alg.ALGONQUIAN,Alg,5.6607,9.5765,34.2226,4.6633,3.1018,1.6670,1.9279,6.1528,20.0750,-8.6740,10.3480,28.7489,mean,1.7598,-0.9763,-1.2612,-0.8434,-0.9635,-0.7512,-0.6442,-1.9069,-1.1512,-1.9848,1.8155,1.8432
Alg.ALGONQUIAN,Alg,5.5577,9.4579,33.5683,4.6426,3.0962,1.6578,1.9217,6.6409,20.2989,-5.6907,9.7920,26.9300,median,1.6493,-1.1207,-1.4178,-0.9153,-0.9894,-0.8819,-0.6999,-1.8909,-1.1153,-1.9464,1.7710,1.7820
Alg.WIYOT,Alg,5.0909,9.1281,33.9179,4.3004,2.9419,1.5762,1.8233,13.5527,17.9987,10.3533,3.1277,7.6454,mean,1.1214,-1.5126,-1.3341,-2.0502,-1.6866,-1.9645,-1.5764,-1.4851,-1.4510,-1.2697,0.7578,0.6205
Alg.WIYOT,Alg,5.0909,9.1281,33.9179,4.3004,2.9419,1.5762,1.8233,13.5527,17.9987,10.3533,3.1277,7.6454,median,1.1214,-1.5126,-1.3341,-2.0502,-1.6866,-1.9645,-1.5764,-1.4851,-1.4510,-1.2697,0.7578,0.6205
Alg.YUROK,Alg,4.3625,8.8148,30.6559,4.3935,2.8767,1.6511,1.6967,13.3522,18.9047,9.4352,3.7888,9.4695,mean,0.1939,-1.8720,-2.1229,-1.7515,-1.9711,-0.9758,-2.6970,-1.5027,-1.3274,-1.3414,0.9412,0.8158
Alg.YUROK,Alg,4.3625,8.8148,30.6559,4.3935,2.8767,1.6511,1.6967,13.3522,18.9047,9.4352,3.7888,9.4695,median,0.1939,-1.8720,-2.1229,-1.7515,-1.9711,-0.9758,-2.6970,-1.5027,-1.3274,-1.3414,0.9412,0.8158
Alt.MONGOLIC,Alt,3.8665,9.9376,36.5774,4.8408,3.1665,1.6900,1.9032,4.0058,18.8683,-11.8070,10.8208,30.6754,mean,-0.5298,-0.5254,-0.7028,-0.2113,-0.6608,-0.4172,-0.8650,-1.9631,-1.3326,-2.0106,1.8512,1.9039
Alt.MONGOLIC,Alt,3.7971,9.9150,37.5188,4.8651,3.1917,1.6994,1.9073,2.5729,18.8663,-15.5997,11.3603,31.2215,median,-0.6385,-0.5541,-0.4816,-0.1224,-0.5416,-0.2776,-0.8281,-1.9896,-1.3329,-2.0283,1.8898,1.9204
Alt.TUNGUSIC,Alt,4.2574,10.1056,36.2292,4.8845,3.2552,1.7014,1.9881,0.0753,19.7665,-21.0834,14.5526,40.8499,mean,0.0475,-0.3099,-0.7849,-0.0513,-0.2365,-0.2482,-0.1048,-2.0198,-1.1995,-2.0384,2.0817,2.1731
Alt.TUNGUSIC,Alt,4.2302,10.1137,36.5964,4.8996,3.2540,1.6991,1.9941,0.7847,21.2730,-22.0429,15.0885,42.5393,median,0.0090,-0.2995,-0.6983,0.0043,-0.2423,-0.2821,-0.0511,-2.0130,-0.9506,-2.0391,2.1091,2.2113
Alt.TURKIC,Alt,3.6624,9.3103,31.8174,4.4849,3.0002,1.6130,1.8437,8.6331,22.4652,-5.1595,10.0495,27.6246,mean,-0.8548,-1.2978,-1.8400,-1.4510,-1.4274,-1.4927,-1.3952,-1.8111,-0.7297,-1.9378,1.7919,1.8059
Alt.TURKIC,Alt,3.5833,9.3908,31.4964,4.4780,2.9938,1.6115,1.8406,11.3420,23.2760,-1.0384,8.8612,24.6881,median,-0.9854,-1.2015,-1.9180,-1.4739,-1.4560,-1.5124,-1.4226,-1.6575,-0.5669,-1.8482,1.6895,1.7009
An.ATAYALIC,An,5.0291,9.3843,34.9404,4.5772,3.0316,1.6446,1.8666,12.5325,17.8292,6.1132,4.2198,11.7159,mean,1.0480,-1.2093,-1.0901,-1.1400,-1.2857,-1.0661,-1.1914,-1.5705,-1.4729,-1.5584,1.0418,1.0109
An.ATAYALIC,An,4.9407,9.4593,35.3769,4.5929,3.0454,1.6437,1.8771,12.5325,17.8292,6.1132,4.2198,11.7159,median,0.9415,-1.1189,-0.9865,-1.0866,-1.2228,-1.0792,-1.0971,-1.5705,-1.4729,-1.5584,1.0418,1.0109
An.BARITO,An,4.7304,11.1383,45.7009,5.1960,3.4761,1.7532,2.0797,23.3284,25.1870,20.9122,1.6452,4.2749,mean,0.6800,1.0945,1.3945,1.1370,0.8685,0.5585,0.7190,0.0231,-0.1408,0.0460,0.1009,0.0942
An.BARITO,An,4.7825,11.4872,46.7818,5.3547,3.5383,1.7662,2.0998,23.8121,26.1166,21.0706,1.9321,5.0903,median,0.7458,1.6002,1.6368,1.7761,1.1921,0.7714,0.8997,0.1389,0.0887,0.0742,0.2716,0.2516
An.BATANIC,An,5.0615,10.3962,43.3755,4.8584,3.2563,1.7247,1.9665,25.0273,27.6943,21.5240,2.3428,6.1703,mean,1.0866,0.0713,0.8691,-0.1469,-0.2311,0.1075,-0.2986,0.4512,0.5134,0.1566,0.4707,0.4257
An.BATANIC,An,5.0812,10.8291,45.5317,4.9634,3.3255,1.7377,1.9966,25.2574,27.8200,21.8440,2.2843,5.9759,median,1.1099,0.6596,1.3565,0.2417,0.1080,0.3113,-0.0282,0.5139,0.5492,0.2162,0.4449,0.3967
An.BILIC,An,4.7048,9.4377,34.3704,4.5803,3.0951,1.6608,1.8820,24.7984,25.4868,24.3578,0.5350,1.1290,mean,0.6475,-1.1451,-1.2259,-1.1294,-0.9947,-0.8389,-1.0543,0.3900,-0.0684,0.7298,-1.2227,-1.0875
An.BILIC,An,4.7778,9.5664,35.8444,4.6185,3.1708,1.6769,1.9162,24.9647,25.6955,24.5862,0.5576,1.1395,median,0.7399,-0.9886,-0.8758,-0.9986,-0.6407,-0.6089,-0.7486,0.4343,-0.0171,0.7807,-1.1696,-1.0794
An.BUNUN,An,4.8172,9.1273,38.0076,4.3987,2.9303,1.6081,1.8622,8.8748,13.1651,3.2729,3.5676,9.8922,mean,0.7893,-1.5136,-0.3673,-1.7344,-1.7378,-1.5570,-1.2306,-1.7996,-1.9400,-1.6985,0.8843,0.8557
An.BUNUN,An,4.8345,9.0986,38.2505,4.4098,2.9371,1.6112,1.8609,8.8748,13.1651,3.2729,3.5676,9.8922,median,0.8107,-1.5470,-0.3106,-1.6984,-1.7078,-1.5170,-1.2415,-1.7996,-1.9400,-1.6985,0.8843,0.8557
An.CELEBIC,An,4.3123,10.7517,43.3331,4.9953,3.4462,1.7226,2.1041,25.0017,25.8323,24.0074,0.7136,1.8249,mean,0.1244,0.5526,0.8595,0.3615,0.7150,0.0760,0.9388,0.4443,0.0169,0.6532,-0.8603,-0.6650
An.CELEBIC,An,4.3205,10.7483,43.3687,4.9990,3.4493,1.7242,2.1040,25.7715,26.8363,24.7290,0.8132,2.1968,median,0.1358,0.5479,0.8675,0.3755,0.7309,0.1001,0.9381,0.6580,0.2769,0.8128,-0.7014,-0.5007
An.CENTRAL_LUZON,An,4.5827,10.4927,43.0441,4.8570,3.3263,1.7167,2.0146,23.8810,25.5872,22.0398,1.1931,3.5475,mean,0.4895,0.2004,0.7937,-0.1521,0.1116,-0.0161,0.1328,0.1558,-0.0438,0.2533,-0.2538,-0.0733
An.CENTRAL_LUZON,An,4.5707,10.5273,42.7812,4.8622,3.3321,1.7206,2.0218,24.9018,26.6785,22.9985,1.1869,3.5629,median,0.4737,0.2469,0.7339,-0.1330,0.1407,0.0437,0.1981,0.4175,0.2348,0.4419,-0.2597,-0.0694
An.CENTRAL_MALAYO-POLYNESIAN,An,4.1326,11.1504,44.7085,5.2450,3.5341,1.7928,2.0831,25.0351,26.1734,23.5153,0.9809,2.6581,mean,-0.1310,1.1118,1.1710,1.3321,1.1701,1.2156,0.7493,0.4533,0.1032,0.5484,-0.4791,-0.3312
An.CENTRAL_MALAYO-POLYNESIAN,An,4.0000,11.2054,45.1859,5.2511,3.5513,1.7960,2.0953,25.5488,26.6008,24.0701,0.9840,2.6179,median,-0.3265,1.1906,1.2787,1.3564,1.2601,1.2703,0.8596,0.5949,0.2143,0.6668,-0.4753,-0.3448
An.CHAMORRO,An,5.4189,9.6460,39.2684,4.5921,3.0486,1.6461,1.9088,26.7469,27.2933,25.8123,0.6553,1.4809,mean,1.4971,-0.8908,-0.0738,-1.0892,-1.2083,-1.0453,-0.8147,0.9481,0.4012,1.0663,-0.9659,-0.8493
An.CHAMORRO,An,5.4189,9.6460,39.2684,4.5921,3.0486,1.6461,1.9088,26.7469,27.2933,25.8123,0.6553,1.4809,median,1.4971,-0.8908,-0.0738,-1.0892,-1.2083,-1.0453,-0.8147,0.9481,0.4012,1.0663,-0.9659,-0.8493
An.EAST_FORMOSAN,An,5.0025,9.9329,39.9768,4.7737,3.1879,1.6946,1.9341,20.1743,24.8756,14.4499,3.7742,10.4257,mean,1.0161,-0.5315,0.0903,-0.4535,-0.5594,-0.3487,-0.5884,-0.6243,-0.2144,-0.8765,0.9376,0.9038
An.EAST_FORMOSAN,An,5.1364,10.0904,39.4342,4.8710,3.2234,1.7033,1.9430,22.0021,27.2316,15.8874,3.8184,10.5366,median,1.1750,-0.3296,-0.0353,-0.1010,-0.3900,-0.2191,-0.5090,-0.2712,0.3842,-0.7064,0.9485,0.9135
An.ENGGANO,An,4.0936,10.7245,46.4720,4.9406,3.4632,1.6694,2.1663,26.3852,27.2453,25.8067,0.6662,1.4386,mean,-0.1878,0.5152,1.5675,0.1563,0.8024,-0.7170,1.5017,0.8380,0.3880,1.0649,-0.9453,-0.8748
