Family,WL,Index0,Index1,Index2,Index3,Index4,Index5,T,T_max,T_min,T_sd,T_diff,Method,WL_trans,Index0_trans,Index1_trans,Index2_trans,Index3_trans,Index4_trans,Index5_trans,T_trans,T_max_trans,T_min_trans,T_sd_trans,T_diff_trans
Atc,4.1600,11.1047,44.6134,5.1892,3.4557,1.7699,2.0330,23.7551,24.3161,23.3867,0.7267,0.9294,median,-0.3468,1.1257,1.1765,1.1713,0.7675,0.8317,0.2762,0.1177,-0.3791,0.5118,-0.8457,-1.2490
AuA,3.7159,9.3942,35.6482,4.5642,3.0385,1.6790,1.8540,23.3750,26.8056,19.1259,2.6725,7.6796,mean,-1.0150,-1.2387,-1.0082,-1.2369,-1.3398,-0.5297,-1.4384,0.0310,0.2209,-0.2182,0.5799,0.6165
AuA,3.7273,9.2588,35.2705,4.5344,3.0139,1.6756,1.8515,24.1544,27.0181,18.7919,2.5604,7.5780,median,-0.9969,-1.3993,-1.0991,-1.3363,-1.4510,-0.5791,-1.4622,0.2114,0.2772,-0.2681,0.5378,0.6048
Aym,4.6348,10.8691,46.8278,5.1433,3.4373,1.7562,2.0478,9.9558,11.1137,8.3753,1.1541,2.7384,mean,0.3005,0.7619,1.7233,0.9726,0.6652,0.6183,0.4160,-1.7576,-2.0640,-1.3871,-0.3032,-0.2914
Aym,4.5429,10.8622,46.6076,5.1478,3.4472,1.7576,2.0484,8.0424,9.4176,5.9190,1.3738,3.4986,median,0.1800,0.7514,1.6688,0.9918,0.7202,0.6406,0.4218,-1.8635,-2.1414,-1.5504,-0.1096,-0.0752
BF,4.5328,10.4827,38.9925,5.0193,3.3724,1.7340,2.0317,25.5420,25.8410,25.1238,0.4213,0.7171,mean,0.1665,0.1922,-0.1990,0.4535,0.3123,0.2803,0.2644,0.5590,-0.0243,0.8637,-1.5419,-1.4797
BF,4.4146,10.5859,39.6585,5.0492,3.3802,1.7364,2.0375,25.5420,25.8410,25.1238,0.4213,0.7171,median,0.0081,0.3410,-0.0370,0.5763,0.3541,0.3163,0.3188,0.5590,-0.0243,0.8637,-1.5419,-1.4797
Bai,5.7158,9.7373,34.2209,4.7703,3.1995,1.7200,1.9337,24.4505,24.8759,23.8069,0.5669,1.0690,mean,1.5776,-0.8148,-1.3513,-0.5124,-0.5774,0.0697,-0.6697,0.2826,-0.2534,0.5938,-1.1549,-1.1246
Bai,5.8367,9.8099,33.5602,4.7887,3.1806,1.7312,1.9364,24.5562,24.9661,23.9303,0.5589,1.0358,median,1.7066,-0.7220,-1.5096,-0.4445,-0.6701,0.2377,-0.6438,0.3085,-0.2326,0.6183,-1.1730,-1.1527
Ban,4.2256,11.2436,41.3772,5.2643,3.4926,1.7935,2.0702,28.4764,33.9248,22.5471,3.4812,11.3777,mean,-0.2536,1.3461,0.3823,1.5043,0.9748,1.2044,0.6278,1.4148,2.5776,0.3534,0.8330,0.9611
