Genus,Family,Index0,Index1,Index2,Index3,Index4,T,T_max,T_min,T_sd,T_diff,Method,Index0_trans,Index1_trans,Index2_trans,Index3_trans,Index4_trans,T_trans,T_max_trans,T_min_trans,T_sd_trans,T_diff_trans
AA.TA-NE-OMOTIC,AA,10.1587,41.0510,3.2350,1.6678,2.0019,19.4473,22.0933,17.3562,1.6627,4.7371,mean,-0.2411,0.3377,-0.3344,-0.7403,0.0183,-0.7491,-0.8010,-0.5132,0.1123,0.1867
AA.TA-NE-OMOTIC,AA,10.2304,41.1184,3.2603,1.6669,2.0225,20.1747,22.7358,18.0930,1.6209,4.6776,median,-0.1476,0.3531,-0.2122,-0.7528,0.2031,-0.6243,-0.6765,-0.4083,0.0849,0.1753
AA.WEST_CHADIC,AA,10.1181,37.6160,3.2368,1.7141,1.9504,25.5456,29.1752,22.6334,2.2650,6.5418,mean,-0.2938,-0.4590,-0.3257,-0.0553,-0.4435,0.5940,0.9537,0.3687,0.4362,0.4787
AA.WEST_CHADIC,AA,10.1861,37.6701,3.2595,1.7128,1.9681,25.8680,29.3135,22.7716,2.1924,6.0785,median,-0.2054,-0.4463,-0.2158,-0.0743,-0.2846,0.6858,0.9970,0.3962,0.4028,0.4121
AK.ASMAT-KAMRAU_BAY,AK,11.3824,46.0320,3.5641,1.8030,2.1060,25.6817,26.3286,24.4752,0.7857,1.8534,mean,1.4465,1.4688,1.3279,1.3908,0.9556,0.6325,0.1432,0.7559,-0.7429,-0.6513
AK.ASMAT-KAMRAU_BAY,AK,11.3181,44.0502,3.5850,1.8318,2.0944,25.6464,26.2142,24.5219,0.7986,1.8629,median,1.3530,1.0220,1.4384,1.8979,0.8512,0.6224,0.1137,0.7663,-0.7233,-0.6468
AM.AMTO-MUSAN,AM,10.7341,40.4260,3.4254,1.7620,2.0662,25.6513,25.9559,25.0804,0.5498,0.8755,mean,0.5283,0.1938,0.6090,0.7011,0.5969,0.6238,0.0480,0.8932,-1.1876,-1.3096
AM.AMTO-MUSAN,AM,10.7341,40.4260,3.4254,1.7620,2.0662,25.6513,25.9559,25.0804,0.5498,0.8755,median,0.5283,0.1938,0.6090,0.7011,0.5969,0.6238,0.0480,0.8932,-1.1876,-1.3096
Abi.ABINOMN,Abi,9.6867,30.0181,3.0866,1.7101,1.8300,26.3174,26.5907,25.9157,0.4492,0.6750,mean,-0.8403,-2.2778,-1.0340,-0.1161,-1.5166,0.8177,0.2116,1.0914,-1.4507,-1.5355
Abi.ABINOMN,Abi,9.6867,30.0181,3.0866,1.7101,1.8300,26.3174,26.5907,25.9157,0.4492,0.6750,median,-0.8403,-2.2778,-1.0340,-0.1161,-1.5166,0.8177,0.2116,1.0914,-1.4507,-1.5355
Abu.ABUN,Abu,9.7553,34.6549,3.0271,1.6968,1.8372,22.7922,23.1882,22.4885,0.3888,0.6997,mean,-0.7550,-1.1578,-1.3056,-0.3163,-1.4527,-0.0999,-0.5850,0.3401,-1.6441,-1.5044
Abu.ABUN,Abu,9.7553,34.6549,3.0271,1.6968,1.8372,22.7922,23.1882,22.4885,0.3888,0.6997,median,-0.7550,-1.1578,-1.3056,-0.3163,-1.4527,-0.0999,-0.5850,0.3401,-1.6441,-1.5044
Aik.AIKANA,Aik,10.9759,41.9137,3.4562,1.7138,2.1214,24.7265,27.0476,23.1080,1.5273,3.9396,mean,0.8644,0.5355,0.7661,-0.0597,1.0950,0.3710,0.3339,0.4641,0.0204,0.0208
Aik.AIKANA,Aik,10.9759,41.9137,3.4562,1.7138,2.1214,24.7265,27.0476,23.1080,1.5273,3.9396,median,0.8644,0.5355,0.7661,-0.0597,1.0950,0.3710,0.3339,0.4641,0.0204,0.0208
Ain.AINU,Ain,9.8899,39.4560,3.2370,1.6950,1.9618,6.0474,19.1040,-6.1996,8.8970,25.3036,mean,-0.5859,-0.0305,-0.3247,-0.3435,-0.3409,-1.9102,-1.2987,-1.9541,1.6928,1.7239
Ain.AINU,Ain,9.8424,38.9983,3.2349,1.6954,1.9461,6.8745,20.3075,-5.6048,8.9480,25.4108,median,-0.6458,-0.1367,-0.3348,-0.3372,-0.4816,-1.8828,-1.1139,-1.9450,1.6975,1.7278
Ala.ALACALUFAN,Ala,9.5966,40.8577,3.1249,1.6306,1.8777,5.5241,8.7996,2.2330,2.3920,6.5666,mean,-0.9514,0.2932,-0.8564,-1.2578,-1.0923,-1.9256,-2.1760,-1.7410,0.4918,0.4822
Ala.ALACALUFAN,Ala,9.5966,40.8577,3.1249,1.6306,1.8777,5.5241,8.7996,2.2330,2.3920,6.5666,median,-0.9514,0.2932,-0.8564,-1.2578,-1.0923,-1.9256,-2.1760,-1.7410,0.4918,0.4822
Alg.ALGONQUIAN,Alg,9.5765,34.2226,3.1018,1.6670,1.9279,6.1528,20.0750,-8.6740,10.3480,28.7489,mean,-0.9761,-1.2609,-0.9635,-0.7512,-0.6444,-1.9069,-1.1512,-1.9848,1.8155,1.8432
Alg.ALGONQUIAN,Alg,9.4579,33.5683,3.0962,1.6578,1.9217,6.6409,20.2989,-5.6907,9.7920,26.9300,median,-1.1205,-1.4173,-0.9894,-0.8819,-0.7002,-1.8909,-1.1153,-1.9464,1.7710,1.7820
